Hotel Id,HOTEL_NAME,LANDMARK,RATING,TOTAL REVIEWERS,PRICE PER NIGHT,Address Id
htl90,"Home2 Suites by Hilton Philadelphia - Convention Center, PA",0.3 miles to City center,4.5,"1,908 reviews",152,adr90
htl91,Holiday Inn Riverview,2.0 miles to City center,3.5,"1,213 reviews",136,adr91
htl92,The Beach Club at Charleston Harbor Resort and Marina,1.6 miles to City center,4.5,324 reviews,169,adr92
htl93,Barksdale House Inn,0.3 miles to City center,4,567 reviews,,adr93
htl94,The Meeting Street Inn,0.1 miles to City center,4.5,967 reviews,206,adr94
htl95,Harborside at Charleston Harbor Resort and Marina,1.7 miles to City center,4,438 reviews,129,adr95
htl96,King Charles Inn,0.1 miles to City center,4.5,"3,298 reviews",199,adr96
htl97,The Vendue,0.3 miles to City center,4.5,"2,671 reviews",289,adr97
htl98,Renaissance Charleston Historic District Hotel,0.2 miles to City center,4,227 reviews,349,adr98
htl99,The Francis Marion Hotel,0.5 miles to City center,4,"3,447 reviews",231,adr99
htl100,Hotel Andra,0.3 miles to City center,4.5,"2,259 reviews",223,adr100
htl101,Hotel Interurban,11 miles to City center,4,91 reviews,239,adr101
htl102,Sheraton Seattle Hotel,0.1 miles to City center,4,"5,952 reviews",,adr102
htl103,The Belltown Inn,0.6 miles to City center,4,"1,389 reviews",199,adr103
htl104,Red Roof Inn Seattle Airport - SEATAC,11 miles to City center,3.5,929 reviews,85,adr104
htl105,"Staypineapple, Hotel FIVE, Downtown Seattle",0.5 miles to City center,4.5,"1,853 reviews",163,adr105
htl106,Graduate Seattle,3.6 miles to City center,3,10 reviews,,adr106
htl107,Holiday Inn Seattle-Issaquah,14 miles to City center,4,202 reviews,161,adr107
htl108,"Staypineapple, University Inn, University District Seattle",3.3 miles to City center,4.5,"1,103 reviews",123,adr108
htl109,Astor Crowne Plaza New Orleans,0.3 miles to City center,4,"2,049 reviews",99,adr109
htl110,Wyndham Garden Hotel Baronne Plaza,0.3 miles to City center,4,"2,692 reviews",65,adr110
htl111,"The Troubadour Hotel New Orleans, Tapestry Collection by Hilton",0.4 miles to City center,4,831 reviews,,adr111
htl112,Hyatt Place New Orleans Convention Center,0.6 miles to City center,4,"1,317 reviews",80,adr112
htl113,The Whitney Hotel,0.1 miles to City center,4,"1,838 reviews",76,adr113
htl114,Astor Crowne Plaza New Orleans,0.3 miles to City center,4,"2,049 reviews",99,adr114
